DeveloperStatus,Age,EdLevel,Employment,WorkExp,WorkExpLevel,YearsCode,YearOfCodingLevel,DevType,OrgSize,OrgSizeCategory,Industry,AIThreat,Career,Country,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,LanguageCount,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,DatabaseCount,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,PlatformCount,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,WebframeCount,DevEnvsHaveWorkedWith,DevEnvsWantToWorkWith,DevEnvsAdmired,DevEnvsCount,AIModelsHaveWorkedWith,AIModelsWantToWorkWith,AIModelsAdmired,AIModelsCount,AIUsageScale,AIWorkflowSentiment,AIAccuracyTrust,AIComplex,AIToolCurrentlyUseFor,PartialAITaskCount,AIToolDontPlanToUseFor,NoAITaskCount,AIToolPlanToPartiallyUseFor,PlannedPartialAITaskCount,AIToolPlanToMostlyUseFor,PlannedMostlyAITaskCount,AIAgents,AIAgentChange,ConvertedCompYearly,JobSat,,
Professional Developer,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1,Entry,4,Mid,Data engineer,"10,000 or more employees",Very Large,Software Development,I'm not sure,Strong Interest in Changing,India,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);C++;Python;SQL,Bash/Shell (all shells);Python;SQL,4,BigQuery;Microsoft SQL Server;SQLite,BigQuery;SQLite,BigQuery;SQLite,3,Docker;Google Cloud;Homebrew,Docker;Google Cloud;Homebrew,Docker;Google Cloud;Homebrew,3,Unknown,Unknown,Unknown,1,Notepad++;PyCharm;Visual Studio Code,Notepad++;PyCharm;Visual Studio Code,Notepad++;PyCharm;Visual Studio Code,3,Unknown,Unknown,Unknown,1,4,Very favorable,Neither trust nor distrust,"Good, but not great ",Writing code;Debugging or fixing code;Search for answers,3,Learning about a codebase;Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,6,Documenting code;Testing code;Creating or maintaining documentation;Learning new concepts or technologies,4,Unknown,1,"No, only Copilot Mode","Yes, somewhat",8137,6,,
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,Mid,12,Senior,Cybersecurity or InfoSec professional,100 to 499 employees,Medium,Software Development,No,No Career Change,United States of America,Bash/Shell (all shells);Python;Rust,Python;Rust,Python;Rust,3,SQLite,PostgreSQL;SQLite,SQLite,2,Cargo;Docker;Homebrew;Make;Microsoft Azure;npm;Pip,Cargo;Homebrew,Cargo;Homebrew,7,FastAPI,FastAPI,FastAPI,1,Claude Code;Cursor;Visual Studio Code;Zed,Claude Code;Visual Studio Code,Claude Code;Visual Studio Code,4,Anthropic: Claude Sonnet,Anthropic: Claude Sonnet,Anthropic: Claude Sonnet,1,5,Indifferent,Somewhat distrust,Very poor at complex tasks,Writing code;Documenting code;Search for answers;Generating content or synthetic data;Learning new concepts or technologies,5,Project planning;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation,7,Unknown,1,Unknown,1,"Yes, Daily","Yes, to a great extent",200000,10,,
Professional Developer,45-54 years old,Some college/university study without earning a degree,Employed,26,Senior,28,Senior,"Developer, full-stack","10,000 or more employees",Very Large,Unknown,Yes,No Career Change,Israel,C;C#;C++,Unknown,Unknown,4,Microsoft Access,Unknown,Unknown,2,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,2,Favorable,Somewhat distrust,Very poor at complex tasks,Unknown,1,Learning about a codebase;Project planning;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Generating content or synthetic data;Creating or maintaining documentation,9,Writing code;Predictive analytics;Search for answers;Learning new concepts or technologies,4,Unknown,1,"No, Planning Soon",Not at all or minimally,75410,8,,
Professional Developer,35-44 years old,Some college/university study without earning a degree,Employed,12,Senior,23,Senior,"Developer, back-end",20 to 99 employees,Small,Software Development,No,Mild Interest in Changing,Australia,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Ruby;SQL;Zig,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Ruby;SQL,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Ruby;SQL,8,Dynamodb;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,4,Amazon Web Services (AWS);Docker;Heroku;Homebrew;Make;npm;Webpack;Yarn,Docker;Make,Docker;Make,8,React;Ruby on Rails,Ruby on Rails,Ruby on Rails,2,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,1,Very unfavorable,Highly distrust,Very poor at complex tasks,Unknown,1,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies;Other (write in):,14,Unknown,1,Unknown,1,"No, no Plans","Yes, somewhat",91013,9,,
Professional Developer,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Freelancer,14,Senior,18,Senior,"Developer, full-stack",Unknown,Unknown,Software Development,I'm not sure,Mild Interest in Changing,India,Java;Kotlin,Unknown,Unknown,3,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,5,Very favorable,Neither trust nor distrust,Neither good nor bad,Unknown,1,Unknown,1,Unknown,1,Unknown,1,"No, only Copilot Mode","Yes, somewhat",75410,10,,
Emerging Developer,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,11,Senior,1,Beginner,Student,Unknown,Unknown,Unknown,No,Career Change – Voluntary,Colombia,Python;Visual Basic (.Net),C;C++;HTML/CSS;Java;JavaScript;MATLAB;SQL;TypeScript,Unknown,11,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Visual Studio Code,Visual Studio Code,4,Unknown,Unknown,Unknown,1,4,Favorable,Highly trust,Neither good nor bad,Testing code;Learning new concepts or technologies,2,Project planning;Documenting code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation,7,Writing code,1,Unknown,1,"Yes, Weekly","Yes, somewhat",75410,8,,
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,Mid,13,Senior,"Developer, full-stack",20 to 99 employees,Small,Software Development,No,Mild Interest in Changing,China,C#;C++;Go;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,Unknown,Unknown,10,DuckDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Unknown,Unknown,8,APT;Bun;Cargo;Chocolatey;Cloudflare;Digital Ocean;Docker;Gradle;Make;npm;Pip;pnpm;Podman;Vite;Webpack;Yarn,Unknown,Unknown,17,Astro;Express;jQuery;Node.js;React;Svelte;Vue.js,Unknown,Unknown,8,IntelliJ IDEA;Nano;Neovim;Visual Studio Code,Unknown,Unknown,5,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;X Grok models,Unknown,Unknown,9,3,Unfavorable,Highly distrust,Very poor at complex tasks,Generating content or synthetic data;Creating or maintaining documentation,2,Project planning;Deployment and monitoring,2,Learning about a codebase;Writing code;Debugging or fixing code;Committing and reviewing code;Predictive analytics,5,Testing code;Search for answers;Learning new concepts or technologies,3,"No, only Copilot Mode","No, but my development work has changed somewhat due to non-AI factors",22286,8,,
Emerging Developer,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Retired,25,Senior,25,Senior,Retired,Unknown,Unknown,Unknown,,Unknown,Thailand,Bash/Shell (all shells);C;C++;Dart;Fortran;HTML/CSS;JavaScript;Lua;MATLAB;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);C;C++;HTML/CSS;Lua;MATLAB;Python;Rust;TypeScript,Bash/Shell (all shells);C;C++;HTML/CSS;Lua;MATLAB;Python;Rust;TypeScript,13,PostgreSQL;SQLite,PostgreSQL;SQLite,PostgreSQL;SQLite,2,Cargo;Composer;Docker;Firebase;npm;Pacman;Pip;pnpm;Webpack;Yarn,Cargo;Docker;Pacman;Podman,Cargo;Docker;Pacman,11,Flask;jQuery;Node.js;Vue.js;Axum,Axum,Axum,5,Android Studio;Neovim;Visual Studio Code;Zed,Visual Studio Code;Zed,Visual Studio Code;Zed,4,Unknown,Unknown,Unknown,1,1,Very unfavorable,Highly distrust,I don’t use AI / Don’t know,Unknown,1,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,10,Deployment and monitoring;Predictive analytics;Search for answers,3,Unknown,1,"No, no Plans",Not at all or minimally,75410,8,,
Emerging Developer,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,11,Senior,14,Senior,Student,Unknown,Unknown,Unknown,I'm not sure,No Career Change,Germany,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Prolog;Python;Rust;TypeScript,C;Erlang;HTML/CSS;Lisp;Lua;Prolog;Rust;Zig;Gleam,C;HTML/CSS;Prolog;Rust,15,SQLite,SQLite,SQLite,1,Cargo;Make;npm;Pacman;Pip;pnpm;Vite;Yarn,Cargo;Pacman,Cargo;Pacman,8,Axum,Axum,Axum,1,Android Studio;Cursor;Nano;RustRover;VSCodium;Zed,VSCodium,VSCodium,6,openAI GPT (chatbot models),Unknown,Unknown,2,3,Favorable,Highly distrust,Very poor at complex tasks,Unknown,1,Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation,6,Learning about a codebase;Project planning;Writing code;Debugging or fixing code;Search for answers;Generating content or synthetic data;Learning new concepts or technologies,7,Unknown,1,"Yes, Monthly/Infrequent",Not at all or minimally,75410,8,,
Professional Developer,35-44 years old,"Associate degree (A.A., A.S., etc.)",Employed,7,Mid,10,Senior,"Developer, full-stack","1,000 to 4,999 employees",Large,Government,Yes,No Career Change,United States of America,C#;HTML/CSS;JavaScript;PHP;SQL;Visual Basic (.Net),PowerShell,Unknown,8,BigQuery;MariaDB;Microsoft Access;Microsoft SQL Server;MySQL,Unknown,Unknown,6,Unknown,Unknown,Unknown,1,Angular;AngularJS;ASP.NET;ASP.NET Core,Unknown,Unknown,5,Android Studio;Nano;Notepad++;Rider;Visual Studio;Visual Studio Code;Xcode,Unknown,Unknown,8,openAI GPT (chatbot models),Unknown,Unknown,2,3,Unfavorable,Neither trust nor distrust,Bad at complex tasks,Learning new concepts or technologies,1,Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring;Predictive analytics,5,Learning about a codebase;Writing code;Debugging or fixing code;Testing code;Search for answers;Creating or maintaining documentation,6,Generating content or synthetic data,1,"No, Planning Soon",Not at all or minimally,94000,9,,
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Freelancer,4,Mid,7,Mid,"Developer, full-stack",Less than 20 employees,Micro,Software Development,I'm not sure,Mild Interest in Changing,Bangladesh,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python;Rust;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,5,MongoDB;PostgreSQL;Redis,Elasticsearch;MongoDB;PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,4,Bun;Digital Ocean;Docker;Heroku;Microsoft Azure;Netlify;npm;Pip;pnpm;Vercel;Vite,Amazon Web Services (AWS);Bun;Digital Ocean;Docker;Microsoft Azure;npm;Pip;pnpm;Vercel;Vite,Bun;Digital Ocean;Docker;Microsoft Azure;npm;Pip;pnpm;Vercel;Vite,12,Django;Express;Next.js;Node.js;React,Django;Express;Flask;NestJS;Next.js;Node.js;React;Vue.js,Django;Express;Next.js;Node.js;React,8,Android Studio;Cursor;PyCharm;Sublime Text;Visual Studio Code;WebStorm,Android Studio;Cursor;Visual Studio Code,Android Studio;Cursor;Visual Studio Code,6,Unknown,Unknown,Unknown,1,5,Very favorable,Somewhat trust,"Good, but not great ",Project planning;Writing code;Debugging or fixing code;Committing and reviewing code;Learning new concepts or technologies,5,Unknown,1,Unknown,1,Deployment and monitoring,1,"No, only Copilot Mode","Yes, to a great extent",75410,8,,
Professional Developer,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Freelancer,30,Senior,40,Senior,Applied scientist,Unknown,Unknown,Software Development,No,Mild Interest in Changing,United States of America,C#;C++;Dart;Delphi;Fortran;Go;Groovy;HTML/CSS;MATLAB;MicroPython;PowerShell;Prolog;Python;R;SQL;Swift;TypeScript;Visual Basic (.Net);Zig,Ada;Assembly;Bash/Shell (all shells);C;COBOL;Elixir;Erlang;F#;GDScript;Java;JavaScript;Kotlin;Lisp;Lua;OCaml;Perl;PHP;Ruby;Rust;Scala;VBA;Mojo;Gleam,Unknown,43,Unknown,Unknown,Unknown,1,Amazon Web Services (AWS);Chocolatey;Composer;Digital Ocean,Ansible;Chocolatey;Composer;Digital Ocean,Chocolatey;Composer;Digital Ocean,5,Spring Boot,Spring Boot,Spring Boot,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,5,Favorable,Somewhat trust,"Good, but not great ",Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies;Other (write in):,14,Unknown,1,Unknown,1,Unknown,1,"Yes, Weekly","Yes, somewhat",36000,8,,
Emerging Developer,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not employed,10,Mid,5,Mid,"Developer, full-stack",Unknown,Unknown,Unknown,No,Strong Interest in Changing,India,HTML/CSS;JavaScript,Unknown,Unknown,3,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Node.js;React,Next.js,Unknown,4,Visual Studio Code,Unknown,Unknown,2,Unknown,Unknown,Unknown,1,2,Very favorable,Somewhat trust,"Good, but not great ",Unknown,1,Writing code;Testing code,2,Project planning;Generating content or synthetic data;Creating or maintaining documentation,3,Documenting code;Predictive analytics,2,"No, Planning Soon","Yes, to a great extent",75410,8,,
Professional Developer,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,22,Senior,35,Senior,"Developer, back-end","1,000 to 4,999 employees",Large,Banking/Financial Services,No,No Career Change,Switzerland,C#;C++;COBOL;F#;Fortran;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;R;Scala;SQL;TypeScript;VBA,C#;F#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,C#;F#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,17,Cloud Firestore;Cosmos DB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Microsoft SQL Server;MySQL;PostgreSQL;Redis,Microsoft SQL Server;MySQL;PostgreSQL;Redis,9,Docker;Kubernetes;Make;Microsoft Azure;MSBuild;npm;NuGet;Splunk,Docker;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet,Docker;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet,8,ASP.NET;ASP.NET Core;Blazor;jQuery;Node.js;React;Svelte,ASP.NET Core;Blazor;Node.js;React,ASP.NET Core;Blazor;Node.js;React,7,IntelliJ IDEA;Notepad++;Rider;RustRover;Visual Studio;Visual Studio Code;WebStorm,Rider;RustRover;Visual Studio;Visual Studio Code;WebStorm,Rider;RustRover;Visual Studio;Visual Studio Code;WebStorm,7,Unknown,Unknown,Unknown,1,2,Favorable,Somewhat distrust,"Good, but not great ",Unknown,1,Learning about a codebase;Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation;Learning new concepts or technologies;Other (write in):,9,Writing code;Debugging or fixing code;Testing code;Generating content or synthetic data,4,Search for answers,1,"No, no Plans","No, but my development work has changed somewhat due to non-AI factors",185989,7,,
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,11,Senior,7,Mid,Academic researcher,Unknown,Unknown,Unknown,No,No Career Change,United States of America,Bash/Shell (all shells);Lua;Python;R,Python;Rust,Python,5,Unknown,Unknown,Unknown,1,Cargo;Pip,Cargo,Cargo,2,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,1,Unfavorable,Highly distrust,Neither good nor bad,Unknown,1,Learning about a codebase;Project planning;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation,11,Writing code;Learning new concepts or technologies,2,Unknown,1,"No, no Plans","No, but my development work has changed somewhat due to non-AI factors",39000,10,,
Professional Developer,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Freelancer,10,Mid,10,Senior,"Developer, full-stack",Unknown,Unknown,Software Development,I'm not sure,No Career Change,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Ruby;SQL,Bash/Shell (all shells);HTML/CSS;Ruby;SQL,6,PostgreSQL;Redis,PostgreSQL;Redis,PostgreSQL;Redis,2,Amazon Web Services (AWS);Bun;Cloudflare;Datadog;Docker;Homebrew;Netlify;npm;Vite;Yarn,Heroku,Unknown,12,jQuery;Ruby on Rails,Ruby on Rails,Ruby on Rails,2,Claude Code;Cursor;Vim;Visual Studio Code;Xcode;Zed,Claude Code;Cursor;Vim,Claude Code;Cursor;Vim,6,Anthropic: Claude Sonnet;openAI GPT (chatbot models),Anthropic: Claude Sonnet,Anthropic: Claude Sonnet,2,5,Unsure,Somewhat distrust,Bad at complex tasks,Learning about a codebase;Writing code;Debugging or fixing code;Testing code;Committing and reviewing code;Search for answers;Learning new concepts or technologies,7,Project planning;Documenting code;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation,5,Generating content or synthetic data,1,Unknown,1,"Yes, Weekly","Yes, somewhat",200000,7,,
Non-Developer (Support/Occasional),65 years or older,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Retired,40,Senior,46,Senior,Retired,Unknown,Unknown,Unknown,,Unknown,United States of America,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,1,Unsure,Neither trust nor distrust,I don’t use AI / Don’t know,Unknown,1,Unknown,1,Unknown,1,Unknown,1,"No, no Plans",Not at all or minimally,75410,8,,
Professional Developer,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4,Mid,4,Mid,"Developer, back-end","5,000 to 9,999 employees",Very Large,Software Development,No,Mild Interest in Changing,Taiwan,Go;Java;JavaScript;Python;SQL,Java;JavaScript;Python;Ruby;SQL,Java;JavaScript;Python;SQL,6,Elasticsearch;H2;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite,8,Unknown,Unknown,Unknown,1,Angular;Next.js;React;Spring Boot,Next.js;React;Ruby on Rails;Spring Boot,Next.js;React;Spring Boot,5,Unknown,Unknown,Unknown,1,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models;X Grok models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models;X Grok models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models;X Grok models,13,5,Favorable,Neither trust nor distrust,"Good, but not great ",Writing code;Documenting code;Debugging or fixing code;Testing code;Predictive analytics;Creating or maintaining documentation,6,Project planning;Committing and reviewing code;Deployment and monitoring,3,Learning about a codebase,1,Learning new concepts or technologies,1,"No, no Plans","Yes, somewhat",27109,7,,
Professional Developer,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3,Mid,6,Mid,"Developer, full-stack",20 to 99 employees,Small,Software Development,I'm not sure,Unknown,India,Bash/Shell (all shells);C;C++;Dart;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;TypeScript,Dart;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;TypeScript,Dart;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,12,Cloud Firestore;Databricks SQL;Dynamodb;Elasticsearch;Firebase Realtime Database;PostgreSQL;SQLite;Supabase,Cloud Firestore;Databricks SQL;Dynamodb;Elasticsearch;Firebase Realtime Database;PostgreSQL;Redis;SQLite,Cloud Firestore;Databricks SQL;Dynamodb;Elasticsearch;Firebase Realtime Database;PostgreSQL;SQLite,9,Amazon Web Services (AWS);Bun;Cargo;Chocolatey;Docker;Firebase;Google Cloud;Netlify;npm;Pip;pnpm;Railway;Supabase;Vercel;Vite,Amazon Web Services (AWS);Bun;Cargo;Chocolatey;Docker;Firebase;Google Cloud;Kubernetes;Microsoft Azure;Netlify;npm;Pip;pnpm;Vercel,Amazon Web Services (AWS);Bun;Cargo;Chocolatey;Docker;Firebase;Google Cloud;Netlify;npm;Pip;pnpm;Vercel,17,Django;Express;FastAPI;Flask;jQuery;NestJS;Next.js;Node.js;React,Django;Express;FastAPI;Flask;NestJS;Next.js;Node.js;React,Django;Express;FastAPI;Flask;NestJS;Next.js;Node.js;React,9,Aider;Claude Code;Cursor;Sublime Text;Trae;Visual Studio;Visual Studio Code,Claude Code;Visual Studio;Visual Studio Code;Zed,Claude Code;Visual Studio;Visual Studio Code,8,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models;Perplexity Sonar models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models;Perplexity Sonar models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models;Perplexity Sonar models,6,5,Favorable,Neither trust nor distrust,"Good, but not great ",Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies;Other (write in):,14,Unknown,1,Unknown,1,Unknown,1,"No, Planning Soon",Not at all or minimally,700000,8,,
Professional Developer,18-24 years old,Some college/university study without earning a degree,Student,1,Entry,5,Mid,"Developer, desktop or enterprise applications",Unknown,Unknown,Unknown,Yes,No Career Change,Republic of Korea,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,1,Very unfavorable,Highly distrust,I don’t use AI / Don’t know,Unknown,1,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies;Other (write in):,14,Unknown,1,Unknown,1,"No, no Plans",Not at all or minimally,75410,0,,
Professional Developer,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5,Mid,10,Senior,"Developer, full-stack",20 to 99 employees,Small,Manufacturing,No,No Career Change,Argentina,HTML/CSS;Python;SQL,HTML/CSS;Python;SQL,HTML/CSS;Python;SQL,3,PostgreSQL,PostgreSQL,PostgreSQL,1,Unknown,Unknown,Unknown,1,Flask,Flask,Flask,1,Visual Studio Code,Visual Studio Code,Visual Studio Code,1,Unknown,Unknown,Unknown,1,5,Very favorable,Somewhat trust,"Good, but not great ",Project planning;Documenting code;Deployment and monitoring;Generating content or synthetic data,4,Unknown,1,Learning about a codebase;Committing and reviewing code;Predictive analytics;Search for answers,4,Unknown,1,"No, Planning Soon","Yes, somewhat",8189,9,,
Professional Developer,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,17,Senior,22,Senior,"Developer, full-stack",100 to 499 employees,Medium,Software Development,I'm not sure,Mild Interest in Changing,Mexico,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,9,Microsoft SQL Server;PostgreSQL,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL,4,Amazon Web Services (AWS);Docker;Microsoft Azure;MSBuild;npm;NuGet,Amazon Web Services (AWS);Cargo;Docker;Google Cloud;Heroku;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet;Podman;Terraform,Amazon Web Services (AWS);Docker;Microsoft Azure;MSBuild;npm;NuGet,12,Angular;ASP.NET;ASP.NET Core,Deno;Node.js;React,Unknown,7,Rider;Sublime Text;Visual Studio;Visual Studio Code;VSCodium,Sublime Text;Visual Studio;Visual Studio Code,Sublime Text;Visual Studio;Visual Studio Code,5,Unknown,Unknown,Unknown,1,4,Unfavorable,Somewhat distrust,Bad at complex tasks,Writing code;Documenting code;Debugging or fixing code;Committing and reviewing code;Search for answers;Creating or maintaining documentation,6,Project planning;Deployment and monitoring;Predictive analytics;Learning new concepts or technologies,4,Learning about a codebase;Testing code;Generating content or synthetic data,3,Unknown,1,"Yes, Weekly",Not at all or minimally,75410,9,,
Professional Developer,55-64 years old,Some college/university study without earning a degree,Freelancer,20,Senior,39,Senior,"Developer, embedded applications or devices",Unknown,Unknown,Unknown,No,Changed Involuntarily,United States of America,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Notepad++;Visual Studio;Visual Studio Code,Claude Code;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,4,Anthropic: Claude Sonnet,Anthropic: Claude Sonnet,Anthropic: Claude Sonnet,1,5,Very favorable,Somewhat distrust,I don’t use AI / Don’t know,Documenting code;Debugging or fixing code;Search for answers;Generating content or synthetic data;Learning new concepts or technologies;Other (write in):,6,Unknown,1,Learning about a codebase;Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation,7,Unknown,1,"Yes, Daily","Yes, to a great extent",75410,8,,
